gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
ATP1A3	416	AHC2|ATP1A1|CAPOS|DEE99|DYT12|RDP	ATP1A3
ATP12A	57	ATP1AL1|H-K-ATPase|HK	ATP12A
ATP1A4	49	ATP1A1|ATP1AL2	ATP1A4
ATP1B1	189	ATP1B	ATP1B1
ATP1B2	90	AMOG	ATP1B2
ATP1B3	51	ATPB-3|CD298	ATP1B3
FXYD2	122	ATP1G1|HOMG2	FXYD2
ATP2A1	263	ATP2A|SERCA1	ATP2A1
ATP2A2	961	ATP2B|DAR|DD|SERCA2	ATP2A2
ATP2A3	117	SERCA3	ATP2A3
ATP2B1	231	MRD66|PMCA1|PMCA1kb	ATP2B1
ATP2B2	152	DFNA82|PMCA2|PMCA2a|PMCA2i	ATP2B2
ATP2B3	120	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	ATP2B3
ATP2B4	116	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATP2B4
ATP4A	86	ATP6A	ATP4A
ATP4B	50	ATP6B	ATP4B
ATP5F1A	38	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	ATP5F1A
ALDH7A1	246	ATQ1|EPD|PDE	ALDH7A1
ATP5F1B	99	ATP5B|ATPMB|ATPSB|HEL-S-271|HUMOP2	ATP5F1B
ATP5F1C	2	ATP5C|ATP5C1|ATP5CL1	ATP5F1C
ATP5F1D	7	ATP5D|MC5DN5	ATP5F1D
ATP5F1E	3	ATP5E|ATPE|MC5DN3	ATP5F1E
ATP5PB	5	ATP5F1|PIG47	ATP5PB
ATP5MC1	3	ATP5A|ATP5G|ATP5G1	ATP5MC1
ATP5MC2	0	ATP5A|ATP5G2	ATP5MC2
ATP5MC3	12	ATP5G3|DYTSPG|P3	ATP5MC3
ATP5ME	6	ATP5I|ATP5K	ATP5ME
ATP5PF	1	ATP5|ATP5A|ATP5J|ATPM|CF6|F6	ATP5PF
ATP6V1A	80	ARCL2D|ATP6A1|ATP6V1A1|DEE93|HO68|IECEE3|VA68|VPP2|Vma1	ATP6V1A
ATP6V1B1	150	ATP6B1|DRTA2|RTA1B|VATB|VMA2|VPP3	ATP6V1B1
ATP6V1B2	68	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	ATP6V1B2
ATP6V0C	63	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	ATP6V0C
ATP6V1C1	33	ATP6C|ATP6D|VATC|Vma5	ATP6V1C1
ATP6V1E1	28	ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4	ATP6V1E1
ATP6V0B	21	ATP6F|HATPL|VMA16	ATP6V0B
ATP6V1G2	20	ATP6G|ATP6G2|NG38|VMA10	ATP6V1G2
ATP6V0A1	32	ATP6N1|ATP6N1A|DEE104|NEDEBA|Stv1|VPP1|Vph1|a1	ATP6V0A1
ATP6AP1	109	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	ATP6AP1
ATP7A	1019	DSMAX|MK|MNK|SMAX3	ATP7A
ATP5PO	4	ATP5O|ATPO|HMC08D05|OSCP	ATP5PO
ATP7B	1465	PWD|WC1|WD|WND	ATP7B
ATR	17744	FCTCS|FRP1|MEC1|SCKL|SCKL1	ATR
ATRX	1575	JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX	ATRX
KIF1A	344	ATSV|C2orf20|HSN2C|MRD9|NESCAVS|SPG30|UNC104	KIF1A
AUH	906	-	AUH
AUP1	35	-	AUP1
AVP	10933	ADH|ARVP|AVP-NPII|AVRP|VP	AVP
AVPR1A	303	AVPR V1a|AVPR1|V1aR	AVPR1A
AVPR1B	127	AVPR3|V1bR|VPR3	AVPR1B
AVPR2	337	ADHR|DI1|DIR|DIR3|NDI|NDI1|V2R	AVPR2
AXL	2548	ARK|JTK11|Tyro7|UFO	AXL
AZGP1	213	ZA2G|ZAG	AZGP1
AZU1	315	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP	AZU1
B2M	1708	IMD43	B2M
BAAT	318	BACAT|BACD1|BAT|HCHO	BAAT
BACH1	721	BACH-1|BTBD24	BACH1
BAD	60654	BBC2|BCL2L8	BAD
BAG1	772	BAG-1|HAP|RAP46	BAG1
BAGE	496	BAGE1|CT2.1	BAGE
