gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
ADGRB1	92	BAI1|GDAIF	ADGRB1
ADGRB2	19	BAI2	ADGRB2
ADGRB3	44	BAI3	ADGRB3
BAK1	1865	BAK|BAK-LIKE|BCL2L7|CDN1	BAK1
NKX3-2	122	BAPX1|NKX3.2|NKX3B|SMMD	NKX3-2
BARD1	707	-	BARD1
BAX	54087	BCL2L4	BAX
BBS1	247	BBS2L2	BBS1
BBS2	165	BBS|RP74	BBS2
BBS4	149	-	BBS4
BCAT1	256	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18	BCAT1
BCAT2	111	BCAM|BCATM|BCT2|HVLI|PP18	BCAT2
BCHE	2883	BCHED|CHE1|CHE2|E1	BCHE
BCKDHA	125	BCKDE1A|MSU|MSUD1|OVD1A	BCKDHA
BCKDHB	99	BCKDE1B|BCKDH E1-beta|E1B	BCKDHB
CCND1	6306	BCL1|D11S287E|PRAD1|U21B31	CCND1
BCL2	75836	Bcl-2|PPP1R50	BCL2
BCL2A1	270	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	BCL2A1
BCL2L1	8490	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	BCL2L1
BCL2L2	298	BCL-W|BCL2-L-2|BCLW|PPP1R51	BCL2L2
BCL3	836	BCL4|D19S37	BCL3
BCL6	4157	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	BCL6
BCL7A	50	BCL7|SMARCJ1	BCL7A
BCL9	238	LGS	BCL9
TNFRSF17	263	BCM|BCMA|CD269|TNFRSF13A	TNFRSF17
HCN2	699	BCNG-2|BCNG2|EIG17|FEB2|GEFSP11|HAC-1	HCN2
OPN1SW	45	BCP|BOP|CBT	OPN1SW
BCR	30619	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR
BCS1L	91	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	BCS1L
BDH1	107	BDH|SDR9C1	BDH1
BDKRB1	60	B1BKR|B1R|BKB1R|BKR1|BRADYB1	BDKRB1
BDKRB2	157	B2R|BK-2|BK2|BKR2|BRB2	BDKRB2
BDNF	31566	ANON2|BULN2	BDNF
CFB	1497	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	CFB
BFSP1	41	CP115|CP94|CTRCT33|LIFL-H	BFSP1
BGLAP	595	BGP|OC|OCN	BGLAP
BGN	1096	DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A	BGN
CEACAM1	824	BGP|BGP1|BGPI	CEACAM1
BHMT	435	BHMT1|HEL-S-61p	BHMT
BICD1	49	BICD|bic-D 1	BICD1
BID	19327	FP497	BID
BIK	1263	BIP1|BP4|NBK	BIK
PRDM1	1138	BLIMP1|PRDI-BF1	PRDM1
BLK	1331	MODY11	BLK
BLM	5319	BS|MGRISCE1|RECQ2|RECQL2|RECQL3	BLM
BLMH	39	BH|BMH	BLMH
CXCR5	1908	BLR1|CD185|MDR15	CXCR5
BLVRA	57	BLVR|BVR|BVRA	BLVRA
BLVRB	40	BVRB|FLR|HEL-S-10|SDR43U1	BLVRB
BNC1	123	BNC|BSN1|HsT19447|POF16	BNC1
BMI1	2558	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	BMI1
BMP1	623	OI13|PCOLC|PCP|PCP2|TLD	BMP1
BMP2	11886	BDA2|BMP2A|SSFSC|SSFSC1	BMP2
BMP3	375	BMP-3A	BMP3
BMP4	5847	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	BMP4
BMP5	315	-	BMP5
BMP6	1280	IO|VGR|VGR1	BMP6
BMP7	3243	OP-1	BMP7
BMP8B	97	BMP8|OP2	BMP8B
BMPR1A	878	10q23del|ACVRLK3|ALK-3|ALK3|BMPR-1A|CD292|SKR5	BMPR1A
BMPR1B	515	ALK-6|ALK6|AMD3|AMDD|BDA1D|BDA2|CDw293	BMPR1B
BMPR2	2186	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	BMPR2
BMX	398	ETK|PSCTK2|PSCTK3	BMX
POLR3D	10	BN51T|C53|RPC4|RPC53|TSBN51	POLR3D
BNIP1	52	NIP1|SEC20|TRG-8	BNIP1
BNIP2	68	BNIP-2|NIP2	BNIP2
BNIP3	1590	HABON|NIP3	BNIP3
BNIP3L	418	BNIP3a|NIX	BNIP3L
BOK	1930	BCL2L9|BOKL	BOK
DST	13295	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBS3|EBSB2|HSAN6|MACF2	DST
FOXL2	1059	BPES|BPES1|PFRK|PINTO|POF3	FOXL2
BPGM	74	DPGM|ECYT8	BPGM
BPHL	37	BPH-RP|MCNAA|VACVASE	BPHL
BPI	3599	BPIFD1|rBPI	BPI
BRCA1	21498	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BRCA1
BRAF	22245	B-RAF1|B-raf|BRAF-1|BRAF1|NS7|RAFB1	BRAF
BRCA2	14054	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	BRCA2
BRDT	198	BRD6|CT9|SPGF21	BRDT
ZFP36L1	154	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36L1
ZFP36L2	109	BRF2|ERF-2|ERF2|OOMD13|OZEMA13|RNF162C|TIS11D	ZFP36L2
BRS3	163	BB3|BB3R|BBR3	BRS3
BSG	2207	5F7|CD147|EMMPRIN|EMPRIN|HAb18G|OK|TCSF	BSG
BST1	151	CD157|cADPR2	BST1
BST2	703	CD317|HM1.24|TETHERIN	BST2
BTC	3097	-	BTC
BTD	645	-	BTD
KLF9	359	BTEB|BTEB1	KLF9
KLF5	858	BTEB2|CKLF|IKLF	KLF5
BTF3	107	BETA-NAC|BTF3a|BTF3b|NACB	BTF3
BTG1	280	APRO2	BTG1
BTK	4237	AGMX1|AT|ATK|BPK|IGHD3|IMD1|PSCTK1|XLA	BTK
BTN1A1	47	BT|BTN|BTN1	BTN1A1
BUB1	1267	BUB1A|BUB1L|MCPH30|hBUB1	BUB1
BUB1B	464	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	BUB1B
BYSL	48	BYSTIN|Enp1	BYSL
TSPO	1936	BPBS|BZRP|DBI|IBP|MBR|PBR|PBS|PKBS|PTBR|TSPO1|mDRC|pk18	TSPO
C1QBP	516	COXPD33|GC1QBP|HABP1|SF2AP32|SF2p32|gC1Q-R|gC1qR|p32	C1QBP
SERPING1	2166	C1IN|C1INH|C1NH|HAE1|HAE2	SERPING1
C1QA	305	C1QD1	C1QA
C1QB	241	C1QD2	C1QB
C1QC	149	C1Q-C|C1QD3|C1QG	C1QC
C1R	1164	EDS8|EDSPD1	C1R
C1S	1778	EDSPD2	C1S
C2	82076	ARMD14|CO2	C2
C3	85437	AHUS5|ARMD9|ASP|C3a|C3b|CPAMD1|HEL-S-62p	C3
C3AR1	187	AZ3B|C3AR|HNFAG09	C3AR1
C4A	1902	C4|C4A2|C4A3|C4A4|C4A6|C4AD|C4S|CO4|CPAMD2|RG	C4A
C4B	3325	C4B1|C4B12|C4B2|C4B3|C4B5|C4BD|C4B_2|C4F|CH|CO4|CPAMD3	C4B
C4BPA	172	C4BP|PRP	C4BPA
C4BPB	41	C4BP	C4BPB
CAPN5	64	ADNIV|HTRA3|VRNI|nCL-3	CAPN5
C5	37592	C5D|C5a|C5b|CPAMD4|ECLZB	C5
C5AR1	586	C5A|C5AR|C5R1|CD88	C5AR1
C6	46542	-	C6
C7	20760	-	C7
C8A	114	-	C8A
C8B	66	C82	C8B
C8G	55	C8C	C8G
OSGIN2	7	C8orf1|hT41	OSGIN2
C9	10378	ARMD15|C9D	C9
VPS51	105	ANG2|ANG3|C11orf2|C11orf3|FFR|PCH13	VPS51
MRPL49	9	C11orf4|L49mt|MRP-L49|NOF|NOF1	MRPL49
ZNHIT2	7	C11orf5|FON	ZNHIT2
MPPED2	26	239FB|C11orf8	MPPED2
MYRF	125	11orf9|C11orf9|CUGS|MMERV|MRF|Ndt80|pqn-47	MYRF
TMEM258	8	C11orf10|Kud|Kuduk	TMEM258
DAGLA	110	C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR	DAGLA
FMNL1	76	C17orf1|C17orf1B|FHOD4|FMNL|KW-13	FMNL1
LDLRAD4	21	C18orf1	LDLRAD4
PTTG1IP	54	C21orf1|C21orf3|PBF|PTTG1IP1	PTTG1IP
CFAP410	21	C21orf2|LRRC76|RDMS|SMDAX|YF5/A2	CFAP410
TMEM50B	5	C21orf4|HCVP7TP3	TMEM50B
MPPED1	6	239AB|C22orf1|FAM1A	MPPED1
CA1	31053	CA-I|CAB|Car1|HEL-S-11	CA1
CA2	223370	CA-II|CAC|CAII|Car2|HEL-76|HEL-S-282	CA2
CA3	14232	CAIII|Car3	CA3
CA4	2227	CAIV|Car4|RP17	CA4
CA5A	14	CA5|CA5AD|CAV|CAVA|GS1-21A4.1	CA5A
CA6	238	CA-VI|GUSTIN	CA6
CA7	116	CA-VII|CAVII	CA7
CA8	172	CA-RP|CA-VIII|CALS|CAMRQ3|CARP	CA8
CA9	1992	CAIX|MN	CA9
CA11	177	CA-RP|CA-RP II|CA-XI|CARP-2|CARPX1	CA11
CA12	380	CA-XII|CAXII|HsT18816|T18816	CA12
CACNA1A	1036	APCA|BI|CACNL1A4|CAV2.1|DEE42|EA2|EIEE42|FHM|HPCA|MHP|MHP1|SCA6	CACNA1A
CACNA1B	331	BIII|CACNL1A5|CACNN|Cav2.2|DYT23|NEDNEH	CACNA1B
CACNA1C	1096	CACH2|CACN2|CACNA1C-IT2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|NEDHLSS|TS|TS. LQT8	CACNA1C
CACNA1D	562	CACH3|CACN4|CACNL1A2|CCHL1A2|Cav1.3|PASNA|SANDD	CACNA1D
CACNA1E	552	BII|CACH6|CACNL1A6|Cav2.3|DEE69|EIEE69|gm139	CACNA1E
CACNA1F	183	AIED|COD3|COD4|CORDX|CORDX3|CSNB2|CSNB2A|CSNBX2|Cav1.4|Cav1.4alpha1|JM8|JMC8|OA2	CACNA1F
CACNA1S	552	CACNL1A3|CCHL1A3|CMYP18|Cav1.1|DHPRM|HOKPP|HOKPP1|MHS5|TTPP1|hypoPP	CACNA1S
DDR1	658	CAK|CD167|DDR|EDDR1|HGK2|MCK10|NEP|NTRK4|PTK3|PTK3A|RTK6|TRKE	DDR1
CACNA2D1	280	CACNA2|CACNL2A|CCHL2A|DEE110|LINC01112|lncRNA-N3	CACNA2D1
CACNB1	57	CAB1|CACNLB1|CCHLB1	CACNB1
CACNB2	182	CAB2|CACNLB2|CAVB2|MYSB	CACNB2
CACNB3	48	CAB3|CACNLB3	CACNB3
CACNB4	90	CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6	CACNB4
CACNG1	16	CACNLG	CACNG1
SLC25A20	87	CAC|CACT	SLC25A20
CAD	61938	CDG1Z|DEE50|EIEE50|GATD4	CAD
CALB1	845	CALB|D-28K	CALB1
CALB2	1312	CAB29|CAL2|CR	CALB2
S100G	240	CABP|CABP1|CABP9K|CALB3	S100G
CALCA	2529	CALC1|CGRP|CGRP-I|CGRP-alpha|CGRP1|CT|KC|PCT	CALCA
CALCB	37	CALC2|CGRP-II|CGRP2	CALCB
CALCR	150	CRT|CT-R|CTR|CTR1	CALCR
CALD1	102	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD	CALD1
CALM1	218	CALML2|CAM2|CAM3|CAMB|CAMC|CAMI|CAMIII|CPVT4|DD132|LQT14|PHKD|PHKD1|caM	CALM1
CALM2	122	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	CALM2
CALM3	68	CALM|CAM1|CAM2|CAMB|CPVT6|CaM|CaMIII|HEL-S-72|LQT16|PHKD|PHKD3	CALM3
CALML3	41	CLP	CALML3
CALR	1522	CRT|HEL-S-99n|RO|SSA|cC1qR	CALR
CALU	2060	-	CALU
CAMK4	444	CaMK IV|CaMK-GR|CaMKIV|caMK	CAMK4
CAMK2A	461	CAMKA|CaMKIINalpha|CaMKIIalpha|MRD53|MRT63	CAMK2A
CAMK2B	117	CAM2|CAMK2|CAMKB|CaMKIIbeta|MRD54	CAMK2B
CAMK2D	163	CAMKD	CAMK2D
CAMK2G	93	CAMK|CAMK-II|CAMKG|MRD59	CAMK2G
CAMLG	42	CAML|CDG2Z|GET2	CAMLG
CAMP	103148	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	CAMP
CANX	112	CNX|IP90|P90	CANX
CAPG	238	AFCP|HEL-S-66|MCP	CAPG
CAPN1	462	CANP|CANP1|CANPL1|SPG76|muCANP|muCL	CAPN1
CAPN2	285	CANP2|CANPL2|CANPml|mCANP	CAPN2
CAPN3	430	CANP3|CANPL3|LGMD2|LGMD2A|LGMDD4|LGMDR1|nCL-1|p94	CAPN3
CAPNS1	126	CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1	CAPNS1
CAPN6	40	CANPX|CAPNX|CalpM|DJ914P14.1	CAPN6
CAPS	14216	CAPS1	CAPS
CAPZA1	62	CAPPA1|CAPZ|CAZ1	CAPZA1
CAPZA2	30	CAPPA2|CAPZ	CAPZA2
CAST	35896	BS-17|PLACK	CAST
CAPZB	60	CAPB|CAPPB|CAPZ	CAPZB
CARS1	16	CARS|CYSRS|MCDDBH|MDBH|MGC:11246	CARS1
CASP1	1065	ICE|IL1BC|P45	CASP1
CASP2	347	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57	CASP2
CASP3	83546	CPP32|CPP32B|SCA-1	CASP3
CASP4	674	ICE(rel)II|ICEREL-II|ICH-2|Mih1|Mih1/TX|TX	CASP4
CASP5	205	ICE(rel)III|ICEREL-III|ICH-3	CASP5
CASP6	501	CSP-6|MCH2|caspase-6	CASP6
CASP7	1047	CASP-7|CMH-1|ICE-LAP3|LICE2|MCH3	CASP7
CASP8	5452	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	CASP8
CASP9	4059	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	CASP9
CASP10	332	ALPS2|FLICE-2|FLICE2|MCH4	CASP10
CASQ1	147	CASQ|CSQ1|PDIB1|VMCQA	CASQ1
CASQ2	308	PDIB2	CASQ2
CASR	2238	CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1|hCasR	CASR
CAT	156242	-	CAT
CAV1	6550	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	CAV1
CAV2	1856	CAV	CAV2
CAV3	1722	LGMD1C|LQT9|MPDT|RMD2|VIP-21|VIP21	CAV3
RUNX2	10386	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	RUNX2
RUNX1	5087	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	RUNX1
RUNX1T1	577	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1T1
CBFA2T3	153	ETO2|MTG16|MTGR2|RUNX1T3|ZMYND4	CBFA2T3
RUNX3	1536	AML2|CBFA3|PEBP2aC	RUNX3
CBFB	580	CLCD2|PEBP2B	CBFB
SERPINA6	110	CBG	SERPINA6
CBL	5307	C-CBL|CBL2|FRA11B|NSLL|RNF55	CBL
CBLB	627	Cbl-b|Nbla00127|RNF56	CBLB
CBLN1	124	-	CBLN1
SERPINH1	445	AsTP3|CBP1|CBP2|HSP47|OI10|PIG14|PPROM|RA-A47|SERPINH2|gp46	SERPINH1
CBR1	307	CBR|PG-9-KR|SDR21C1|hCBR1	CBR1
CBR3	149	HEL-S-25|SDR21C2|hCBR3	CBR3
CBS	13362	CBSL|HIP4	CBS
CCIN	45	BTBD20|KBTBD14	CCIN
KYAT1	9	CCBL1|GTK|KAT1|KATI	KYAT1
CCK	29571	-	CCK
CCKAR	205	CCK-A|CCK1-R|CCK1R|CCKRA	CCKAR
CCKBR	215	CCK-B|CCK2R|GASR	CCKBR
KRIT1	456	CAM|CCM1	KRIT1
CCNA2	754	CCN1|CCNA	CCNA2
CCNB1	2254	CCNB	CCNB1
CCNC	320	CycC|SRB11|hSRB11	CCNC
CCND2	1385	KIAK0002|MPPH3	CCND2
CCND3	850	-	CCND3
CCNE1	1044	CCNE|pCCNE1	CCNE1
CCNF	178	FBX1|FBXO1|FTDALS5	CCNF
CCNG1	326	CCNG	CCNG1
CCNG2	131	-	CCNG2
CCNH	362	CAK|CycH|p34|p37	CCNH
CCNT1	245	CCNT|CYCT1|HIVE1	CCNT1
CCNT2	39	CYCT2	CCNT2
CCT6A	61	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20	CCT6A
CD1A	3937	CD1|FCB6|HTA1|R4|T6	CD1A
CD1B	437	CD1|CD1A|R1	CD1B
CD1C	825	BDCA1|CD1|CD1A|R7	CD1C
CD1D	2808	CD1A|R3|R3G1	CD1D
CD1E	75	CD1A|R2	CD1E
CD2	17946	LFA-2|SRBC|T11	CD2
CD3D	181	CD3-DELTA|CD3DELTA|IMD19|T3D	CD3D
CD3E	533	CD3epsilon|IMD18|T3E|TCRE	CD3E
CD3G	99	CD3-GAMMA|CD3GAMMA|IMD17|T3G	CD3G
CD247	152	CD3-ZETA|CD3H|CD3Q|CD3Z|CD3ZETA|IMD25|T3Z|TCRZ	CD247
CD4	184649	CD4mut|IMD79|Leu-3|OKT4D|T4	CD4
CD5	7685	LEU1|T1	CD5
CD5L	173	AIM|API6|CT-2|PRO229|SP-ALPHA|Spalpha|hAIM	CD5L
CD6	685	TP120	CD6
CD7	2666	GP40|LEU-9|TP41|Tp40	CD7
CD8A	552	CD8|CD8alpha|Leu2|p32	CD8A
CD8B	96	CD8B1|CD8beta|LEU2|LY3|LYT3|Ly-3|P37	CD8B
CD8B2	1	CD8BP	CD8B2
CD9	2645	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	CD9
CD14	29070	-	CD14
CD19	15380	B4|CVID3	CD19
MS4A1	133	B1|Bp35|CD20|CVID5|FMC7|LEU-16|S7	MS4A1
MS4A3	41	CD20L|HTM4	MS4A3
CD22	2727	SIGLEC-2|SIGLEC2	CD22
CD27	4745	S152|S152. LPFS2|T14|TNFRSF7|Tp55	CD27
CD28	13015	Tp44	CD28
CD80	11414	B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7	CD80
CD86	11894	B7-2|B7.2|B70|CD28LG2|LAB72	CD86
TNFRSF8	70	CD30|D1S166E|Ki-1	TNFRSF8
TNFSF8	179	CD153|CD30L|CD30LG|TNLG3A	TNFSF8
CD33	3814	SIGLEC-3|SIGLEC3|p67	CD33
SIGLEC6	57	CD327|CD33L|CD33L1|CD33L2|CDW327|OBBP1	SIGLEC6
CD34	40240	-	CD34
CD36	8090	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CD36
SCARB1	2031	CD36L1|CLA-1|CLA1|HDLCQ6|HDLQTL6|SR-BI|SRB1	SCARB1
SCARB2	310	AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII	SCARB2
CD37	335	GP52-40|TSPAN26	CD37
CD38	9501	ADPRC 1|ADPRC1|cADPR1	CD38
ENTPD1	318	ATPDase|CD39|NTPDase-1|SPG64	ENTPD1
ENTPD2	41	CD39L1|NTPDase-2	ENTPD2
ENTPD6	9	CD39L2|IL-6SAG|IL6ST2|NTPDase-6|dJ738P15.3	ENTPD6
ENTPD3	32	CD39L3|HB6|NTPDase-3	ENTPD3
ENTPD5	56	CD39L4|NTPDase-5|PCPH	ENTPD5
CD40	16618	Bp50|CDW40|TNFRSF5|p50	CD40
CD40LG	8368	CD154|CD40L|HIGM1|IGM|IMD3|T-BAM|TNFSF5|TRAP|gp39|hCD40L	CD40LG
CD44	21912	CDW44|CSPG8|ECM-III|ECMR-III|H-CAM|HCELL|HUTCH-1|HUTCH-I|Hermes-1|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	CD44
CD47	2432	IAP|MER6|OA3	CD47
CD48	1300	BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48	CD48
CD53	254	MOX44|TSPAN25	CD53
CD58	1522	LFA-3|LFA3|ag3	CD58
CD59	2657	16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20	CD59
CD63	3653	LAMP-3|ME491|MLA1|OMA81H|TSPAN30	CD63
CD68	14576	GP110|LAMP4|SCARD1	CD68
CD69	6231	AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3	CD69
CD70	867	CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A	CD70
CD72	305	CD72b|LYB2	CD72
CD74	1141	CLIP|DHLAG|HLADG|II|Ia-GAMMA|p33	CD74
CD79A	1966	IGA|IGAlpha|MB-1|MB1	CD79A
CD79B	1174	AGM6|B29|IGB|Igbeta	CD79B
CD81	2143	CVID6|S5.7|TAPA1|TSPAN28	CD81
ADGRE5	162	CD97|TM7LN1	ADGRE5
CD151	517	EBS7|GP27|MER2|PETA-3|RAPH|SFA1|TSPAN24	CD151
CDA	6305	CDD	CDA
CDK1	5852	CDC2|CDC28A|P34CDC2	CDK1
CDK11B	24	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	CDK11B
LRBA	229	BGL|CDC4L|CVID8|LAB300|LBA	LRBA
CDC5L	101	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	CDC5L
SEPTIN7	110	CDC10|CDC3|NBLA02942|SEPT7|SEPT7A	SEPTIN7
CDC6	1046	CDC18L|HsCDC18|HsCDC6|MGORS5	CDC6
CDC20	1618	CDC20A|OOMD14|OZEMA14|bA276H19.3|p55CDC	CDC20
CDC25A	1227	CDC25A2	CDC25A
CDC25B	665	-	CDC25B
CDC25C	1444	CDC25|PPP1R60	CDC25C
CDC27	228	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	CDC27
CDC34	254	E2-CDC34|UBC3|UBCH3|UBE2R1	CDC34
CDC42	7917	CDC42Hs|G25K|TKS	CDC42
CDH1	5629	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	CDH1
CDH2	1199	ACOGS|ADHD8|ARVD14|CD325|CDHN|CDw325|NCAD	CDH2
CDH3	258	CDHP|HJMD|PCAD	CDH3
CDH4	94	CAD4|R-CAD|RCAD	CDH4
CDH5	338	7B4|CD144	CDH5
CDH6	105	CAD6|KCAD	CDH6
CDH7	60	CDH7L1	CDH7
CDH8	100	Nbla04261	CDH8
CDH9	42	-	CDH9
CDH10	50	-	CDH10
CDH11	255	CAD11|CDHOB|ESWS|OB|OSF-4|TBHS2	CDH11
CDH12	41	CDHB	CDH12
CDH13	455	CDHH|P105	CDH13
CDH15	32	CDH14|CDH3|CDHM|MCAD|MRD3	CDH15
CDH16	62	-	CDH16
CDH17	227	CDH16|HPT-1|HPT1	CDH17
CDH18	44	CDH14|CDH14L|CDH24	CDH18
CDK2	8834	CDKN2|p33(CDK2)	CDK2
CDK3	123	-	CDK3
CDK4	10388	CMM3|PSK-J3	CDK4
CDK5	3042	LIS7|PSSALRE	CDK5
CDK6	3613	MCPH12|PLSTIRE	CDK6
CDK7	803	CAK|CAK1|CDKN7|HCAK|MO15|STK1|p39MO15	CDK7
CDK8	587	IDDHBA|K35	CDK8
CDK9	1338	C-2k|CDC2L4|CTK1|PITALRE|TAK	CDK9
CDKN1A	10827	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	CDKN1A
CDKN1B	2977	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	CDKN1B
CDKN1C	967	BWCR|BWS|KIP2|WBS|p57|p57Kip2	CDKN1C
CDKN2A	13485	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	CDKN2A
CDKN2B	2001	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	CDKN2B
CDKN2C	346	INK4C|p18|p18-INK4C	CDKN2C
CDKN2D	198	INK4D|p19|p19-INK4D	CDKN2D
CDKN3	179	CDI1|CIP2|KAP|KAP1	CDKN3
CDO1	140	CDO-I	CDO1
CDR2	1042	CDR62|Yo	CDR2
CDS1	336	CDS 1	CDS1
CDSN	192	HTSS|HTSS1|HYPT2|PSS|PSS1	CDSN
CD52	1232	CDW52|EDDM5|HE5	CD52
CDX1	368	-	CDX1
CDX2	3272	CDX-3|CDX2/AS|CDX3	CDX2
CDX4	121	-	CDX4
CLGN	30	-	CLGN
CEACAM5	318	CD66e|CEA	CEACAM5
CEBPA	1872	C/EBP-alpha|CEBP	CEBPA
CEBPB	953	C/EBP-beta|IL6DBP|NF-IL6|TCF5	CEBPB
CEBPD	426	C/EBP-delta|CELF|CRP3|NF-IL6-beta	CEBPD
CEBPE	192	C/EBP-epsilon|CRP1|IMD108|SGD1|c/EBP epsilon	CEBPE
CEBPG	48	GPE1BP|IG/EBP-1	CEBPG
CEL	5201	BAL|BSDL|BSSL|CELL|CEase|FAP|FAPP|LIPA|MODY8	CEL
CENPA	1069	CENP-A|CenH3	CENPA
CENPB	430	-	CENPB
CENPC	353	CENP-C|CENPC1|MIF2|hcp-4	CENPC
CENPE	424	CENP-E|KIF10|MCPH13|PPP1R61	CENPE
CENPF	382	CENF|CILD31|PRO1779|STROMS|hcp-1	CENPF
CES1	577	ACAT|CE-1|CEH|CES2|HMSE|HMSE1|PCE-1|REH|SES1|TGH|hCE-1	CES1
CETN1	26	CEN1|CETN	CETN1
CETN2	104	CALT|CEN2	CETN2
CETN3	33	CDC31|CEN3	CETN3
CETP	3494	BPIFF|HDLCQ10	CETP
CFL1	375	CFL|HEL-S-15|cofilin	CFL1
CFL2	99	NEM7	CFL2
CTSC	305	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	CTSC
CFTR	13140	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1	CFTR
CGA	6214	CG-ALPHA|FSHA|GPA1|GPHA1|GPHa|HCG|LHA|TSHA	CGA
CGB3	12	CGB|CGB5|CGB7|CGB8|LHB|hCGB	CGB3
CEACAM3	91	CD66D|CEA|CGM1|W264|W282	CEACAM3
CEACAM7	46	CGM2	CEACAM7
CEACAM8	217	CD66b|CD67|CGM6|NCA-95	CEACAM8
CEACAM4	12	CGM7|CGM7_HUMAN|NCA	CEACAM4
CHAD	3472	SLRR4A	CHAD
RCBTB2	22	CHC1L|RLG	RCBTB2
CHAT	9781	CHOACTASE|CMS1A|CMS1A2|CMS6	CHAT
RCC1	553	CHC1|RCC1-I	RCC1
CHD1	410	CHD-1|PILBOS	CHD1
CHD2	205	DEE94|EEOC	CHD2
CHD3	247	Mi-2a|Mi2-ALPHA|SNIBCPS|ZFH	CHD3
CHD4	362	CHD-4|Mi-2b|Mi2-BETA|SIHIWES	CHD4
AKR1C4	120	3-alpha-HSD|C11|CDR|CHDR|DD-4|DD4|HAKRA	AKR1C4
